54,7,55,7
55,7,56,7
56,7,57,7
57,7,58,7
75,7,76,7
76,7,77,7
77,7,78,7
78,7,79,7
79,7,80,7
64,7,65,7
80,6,81,6
64,6,65,6
80,7,81,7
65,7,66,7
81,6,82,6
65,6,66,6
81,7,82,7
66,7,67,7
82,6,83,6
66,6,67,6
82,7,83,7
67,7,68,7
83,6,84,6
67,6,68,6
83,7,84,7
68,7,69,7
84,6,85,6
68,6,69,6
84,7,85,7
69,7,70,7
85,6,86,6
69,6,70,6
85,7,86,7
70,7,71,7
86,6,86,7
71,7,72,7
87,6,87,7
70,6,71,6
86,7,87,7
72,7,73,7
88,6,88,7
71,6,72,6
87,7,87,8
73,7,74,7
89,6,89,7
72,6,73,6
88,7,88,8
74,7,75,7
90,6,90,7
73,6,74,6
89,7,89,8
94,16,94,17
93,16,93,17
94,17,94,18
92,16,92,17
93,17,93,18
91,16,91,17
92,17,92,18
94,19,94,20
90,16,90,17
91,17,91,18
93,19,93,20
90,17,90,18
92,19,92,20
91,19,91,20
90,19,90,20
94,23,94,24
93,23,93,24
92,23,92,24
91,23,91,24
90,23,90,24
81,35,81,34
93,30,92,30
77,31,76,31
78,99,77,99
79,97,78,97
95,96,95,95
78,98,77,98
77,99,76,99
93,98,92,98
79,96,78,96
95,97,94,97
78,97,77,97
77,98,76,98
93,99,92,99
76,99,75,99
92,98,91,98
78,96,77,96
94,97,93,97
77,97,76,97
93,96,92,96
76,98,75,98
92,99,91,99
75,99,74,99
91,98,90,98
77,96,76,96
93,97,92,97
76,97,75,97
92,96,91,96
75,98,74,98
91,99,90,99
74,99,73,99
90,98,89,98
76,96,75,96
92,97,91,97
75,97,74,97
91,96,90,96
74,98,73,98
90,99,89,99
73,99,72,99
89,98,88,98
75,96,74,96
91,97,90,97
74,97,73,97
90,96,89,96
73,98,72,98
89,99,88,99
72,99,71,99
88,98,87,98
74,96,73,96
90,97,89,97
73,97,72,97
89,96,88,96
72,98,71,98
88,99,87,99
71,99,70,99
87,98,86,98
73,96,72,96
89,97,88,97
72,97,71,97
88,96,87,96
71,98,70,98
87,99,86,99
70,99,69,99
86,98,85,98
72,96,71,96
88,97,87,97
71,97,70,97
87,96,86,96
70,98,69,98
86,99,85,99
69,99,68,99
85,98,84,98
71,96,70,96
87,97,86,97
70,97,69,97
86,96,85,96
69,98,68,98
85,99,84,99
68,99,67,99
84,98,83,98
70,96,69,96
86,97,85,97
69,97,68,97
85,96,84,96
68,98,67,98
84,99,83,99
67,99,66,99
83,98,82,98
69,96,68,96
85,97,84,97
68,97,67,97
84,96,83,96
67,98,66,98
83,99,82,99
66,99,65,99
82,98,81,98
68,96,67,96
84,97,83,97
67,97,66,97
83,96,82,96
66,98,65,98
82,99,81,99
65,99,64,99
81,98,80,98
67,96,66,96
83,97,82,97
66,97,65,97
82,96,81,96
65,98,64,98
81,99,80,99
64,99,63,99
80,98,79,98
66,96,65,96
82,97,81,97
65,97,64,97
81,96,80,96
64,98,63,98
80,99,79,99
65,96,64,96
81,97,80,97
80,96,79,96
64,97,63,97
64,96,63,96
80,97,79,97
52,95,52,94
51,95,51,94
52,94,52,93
51,94,51,93
50,94,50,93
49,94,49,93
48,94,48,93
96,91,95,91
47,78,46,78
63,79,64,79
47,79,46,79
46,78,45,78
62,79,63,79
46,79,45,79
62,78,62,79
45,78,44,78
61,79,62,79
45,79,44,79
61,78,62,78
44,78,43,78
60,79,61,79
44,79,43,79
60,78,61,78
43,78,42,78
59,79,60,79
44,80,43,80
92,87,93,87
60,81,61,81
43,79,42,79
59,78,60,78
42,78,41,78
58,79,59,79
90,73,90,72
44,81,43,81
92,86,92,87
60,80,61,80
43,80,42,80
91,87,92,87
59,81,60,81
42,79,41,79
58,78,59,78
90,72,89,72
41,78,40,78
57,79,58,79
89,73,89,72
44,82,43,82
92,85,92,86
60,83,61,83
43,81,42,81
91,86,92,86
59,80,60,80
42,80,41,80
90,87,91,87
58,81,59,81
41,79,40,79
57,78,58,78
89,72,89,71
40,78,39,78
88,73,88,72
44,83,43,83
92,84,92,85
60,82,61,82
43,82,42,82
91,85,91,86
59,83,60,83
42,81,41,81
90,86,91,86
58,80,59,80
41,80,40,80
89,87,90,87
57,81,58,81
40,79,39,79
88,72,88,71
39,78,39,79
87,73,87,72
43,83,42,83
91,84,91,85
59,82,60,82
42,82,41,82
90,85,91,85
58,83,59,83
41,81,40,81
89,86,90,86
57,80,58,80
40,80,39,80
88,87,89,87
39,79,38,79
87,72,87,71
42,83,41,83
90,84,90,85
58,82,59,82
41,82,40,82
89,85,90,85
57,83,58,83
40,81,39,81
88,86,89,86
39,80,38,80
87,87,88,87
41,83,40,83
89,84,90,84
57,82,58,82
40,82,39,82
88,85,89,85
39,81,38,81
87,86,88,86
40,83,39,83
88,84,89,84
39,82,38,82
87,85,88,85
39,83,38,83
87,84,88,84
48,79,47,79
32,78,32,79
31,78,31,79
79,75,79,76
48,78,47,78
32,79,32,80
30,78,30,79
78,75,78,76
62,76,62,77
31,79,31,80
79,74,79,75
48,81,47,81
32,80,32,81
80,87,81,87
29,78,29,79
77,75,77,76
61,76,61,77
30,79,30,80
78,74,78,75
62,77,62,78
94,75,93,75
47,83,46,83
31,80,31,81
79,85,80,85
63,82,64,82
48,80,47,80
32,81,32,82
80,86,81,86
29,79,29,80
77,74,77,75
61,77,61,78
93,75,92,75
46,83,45,83
30,80,30,81
78,85,79,85
62,82,63,82
47,82,46,82
31,81,31,82
79,84,80,84
63,83,64,83
48,83,47,83
32,82,32,83
80,85,81,85
45,83,44,83
29,80,29,81
93,84,93,85
77,85,78,85
61,82,62,82
46,82,45,82
30,81,30,82
78,84,79,84
62,83,63,83
47,81,46,81
31,82,31,83
79,87,80,87
63,80,64,80
48,82,47,82
32,83,32,84
80,84,81,84
45,82,44,82
29,81,29,82
93,85,93,86
77,84,78,84
61,83,62,83
46,81,45,81
30,82,30,83
78,87,79,87
62,80,63,80
47,80,46,80
31,83,31,84
79,86,80,86
63,81,64,81
45,81,44,81
29,82,29,83
93,86,93,87
77,87,78,87
